City,Country_Code,Latitude,Longitude,_id
Cedar Rapids/Iowa City,216,41.661129,-91.530167,6120e415865d903539a96999
Clatskanie,216,46.1012219,-123.2067863,6120e415865d903539a9699a
Cochrane,216,51.189,-114.467,6120e415865d903539a9699b
Columbus,216,39.9862,-82.985,6120e415865d903539a9699c
Dalton,216,34.769,-84.9712,6120e415865d903539a9699d
Davenport,216,41.5563,-90.6052,6120e415865d903539a9699e
Des Moines,216,41.5725,-93.6105,6120e415865d903539a9699f
Dubuque,216,42.5008,-90.7067,6120e415865d903539a969a0
Fernley,216,39.5611,-119.1926,6120e415865d903539a969a1
Gainesville,216,29.6804,-82.3458,6120e415865d903539a969a2
Lakeview,216,40.6775,-73.6493,6120e415865d903539a969a3
Lincoln,216,40.809,-96.6788,6120e415865d903539a969a4
Macon,216,32.8065,-83.6974,6120e415865d903539a969a5
Mc Millan,216,46.37,-85.74,6120e415865d903539a969a6
Miller,216,44.52,-98.99,6120e415865d903539a969a7
Monroe,216,32.5183,-92.0774,6120e415865d903539a969a8
Ojo Caliente,216,21.8772,-102.6756,6120e415865d903539a969a9
Orlando,216,28.4772,-81.3369,6120e415865d903539a969aa
Pensacola,216,30.4427,-87.1886,6120e415865d903539a969ab
Pocatello,216,42.8724,-112.4646,6120e415865d903539a969ac
Potrero,216,19.4769531,-99.1321752,6120e415865d903539a969ad
Princeton,216,25.5396,-80.3971,6120e415865d903539a969ae
Rest of Hawaii,216,19.741755,-155.844437,6120e415865d903539a969af
Savannah,216,32.0281,-81.1784,6120e415865d903539a969b0
Sioux City,216,42.4959,-96.3901,6120e415865d903539a969b1
Tampa Bay,216,27.964157,-82.452606,6120e415865d903539a969b2
Valdosta,216,30.8502,-83.2788,6120e415865d903539a969b3
Vernonia,216,45.8587228,-123.1928926,6120e415865d903539a969b4
Waterloo,216,42.492,-92.3522,6120e415865d903539a969b5
Weirton,216,40.406,-80.5671,6120e415865d903539a969b6
Winchester Bay,216,43.6773387,-124.1795594,6120e415865d903539a969b7
Iowa City,216,41.661129,-91.530167,6120e415865d903539a969b8
