Address,Aggregate_rating,Average_Cost_for_two,City,Country_Code,Cuisines,Currency,Has_Online_delivery,Has_Table_booking,Is_delivering_now,Latitude,Locality,Locality_Verbose,Longitude,Price_range,Rating_color,Rating_text,Restaurant_ID,Restaurant_Name,Votes,_id
"E-32, South Extension 2, New Delhi",2.7,1200,New Delhi,1,"Chinese, North Indian",Indian Rupees(Rs.),No,Yes,No,28.5684277,South Extension 2,"South Extension 2, New Delhi",77.2192289,3,Orange,Average,93,Princess Garden,31,6120e397a4acd2e728594934
"8, Pandara Road Market, New Delhi",3.8,1200,New Delhi,1,North Indian,Indian Rupees(Rs.),Yes,No,No,28.6080723,Pandara Road Market,"Pandara Road Market, New Delhi",77.2298055,3,Yellow,Good,103,Veg Gulati,600,6120e397a4acd2e728594935
"The Lalit, Barakhamba Avenue, Barakhamba Road, New Delhi",3.6,4500,New Delhi,1,"Chinese, Seafood",Indian Rupees(Rs.),No,Yes,No,28.631407,"The Lalit New Delhi, Barakhamba Road","The Lalit New Delhi, Barakhamba Road, New Delhi",77.227277,4,Yellow,Good,104,Woks - The Lalit New Delhi,62,6120e397a4acd2e728594936
"K-185, Surai Jullena, New Friends Colony, New Delhi",4.2,1800,New Delhi,1,"Chinese, Seafood, Asian",Indian Rupees(Rs.),Yes,Yes,No,28.56164062,New Friends Colony,"New Friends Colony, New Delhi",77.27047574,3,Green,Very Good,112,Lotus Pond,391,6120e397a4acd2e728594937
"The Village Restaurant Complex, Next to Sirifort Auditorium, Khel Gaon Marg, New Delhi",3.6,1700,New Delhi,1,"Chinese, Thai",Indian Rupees(Rs.),Yes,Yes,No,28.5525438,"The Village Restaurant Complex, Khel Gaon Marg","The Village Restaurant Complex, Khel Gaon Marg, New Delhi",77.2133902,3,Yellow,Good,131,Chopsticks,350,6120e397a4acd2e728594938
"11, Defence Colony Market, Defence Colony, New Delhi",3.8,1000,New Delhi,1,"North Indian, Mughlai, Chinese",Indian Rupees(Rs.),Yes,Yes,No,28.5735944,Defence Colony,"Defence Colony, New Delhi",77.2301869,3,Yellow,Good,134,Moti Mahal Delux,130,6120e397a4acd2e728594939
"M-42, Connaught Place, New Delhi",3.7,700,New Delhi,1,"Pizza, Fast Food",Indian Rupees(Rs.),No,No,No,28.6332312,Connaught Place,"Connaught Place, New Delhi",77.2228959,2,Yellow,Good,143,"Domino's Pizza",336,6120e397a4acd2e72859493a
"M-57, 1st Floor, M Block Market, Greater Kailash (GK) 1, New Delhi",2.5,500,New Delhi,1,"American, Fast Food, Salad, Healthy Food",Indian Rupees(Rs.),Yes,No,No,28.5505215,Greater Kailash (GK) 1,"Greater Kailash (GK) 1, New Delhi",77.234992,2,Orange,Average,147,Subway,115,6120e397a4acd2e72859493b
"3, Satyam Cineplex, Nehru Place, New Delhi",3.6,500,New Delhi,1,"American, Fast Food, Salad, Healthy Food",Indian Rupees(Rs.),No,No,No,28.5501754,Nehru Place,"Nehru Place, New Delhi",77.251157,2,Yellow,Good,148,Subway,142,6120e397a4acd2e72859493c
"54, The India Mall, Community Centre, New Friends Colony, New Delhi",1.9,500,New Delhi,1,"American, Fast Food, Salad, Healthy Food",Indian Rupees(Rs.),Yes,No,No,28.5614696,"The India Mall, New Friends Colony","The India Mall, New Friends Colony, New Delhi",77.2685174,2,Red,Poor,149,Subway,146,6120e397a4acd2e72859493d
"8-C, Khan Market, New Delhi",3.7,500,New Delhi,1,"American, Fast Food, Salad, Healthy Food",Indian Rupees(Rs.),Yes,No,No,28.5998597,Khan Market,"Khan Market, New Delhi",77.2260104,2,Yellow,Good,154,Subway,188,6120e397a4acd2e72859493e
"SG-102, Ground Floor, DLF Galleria, DLF Phase 4, Gurgaon",2.5,500,Gurgaon,1,"American, Fast Food, Salad, Healthy Food",Indian Rupees(Rs.),No,No,No,28.4676142,"DLF Galleria, DLF Phase 4","DLF Galleria, DLF Phase 4, Gurgaon",77.0814039,2,Orange,Average,157,Subway,125,6120e397a4acd2e72859493f
"Food Court, 3rd Floor, DLF Mega Mall, DLF Phase 1, Gurgaon",3.1,500,Gurgaon,1,"American, Fast Food, Salad, Healthy Food",Indian Rupees(Rs.),No,No,No,28.47568922,"DLF Mega Mall, DLF Phase 1","DLF Mega Mall, DLF Phase 1, Gurgaon",77.09308684,2,Orange,Average,158,Subway,46,6120e397a4acd2e728594940
"Shop 4A, 3rd Floor, Food Court, MGF Metropolitan Mall, MG Road, Gurgaon",3.3,500,Gurgaon,1,"American, Fast Food, Salad, Healthy Food",Indian Rupees(Rs.),Yes,No,No,28.4804762,"MGF Metropolitan Mall, MG Road","MGF Metropolitan Mall, MG Road, Gurgaon",77.0802124,2,Orange,Average,159,Subway,81,6120e397a4acd2e728594941
"P-19, Sector 18, Noida",3.7,2000,Noida,1,"North Indian, Mughlai",Indian Rupees(Rs.),Yes,Yes,No,28.56900605,Sector 18,"Sector 18, Noida",77.32484244,4,Yellow,Good,166,Punjabi By Nature,770,6120e397a4acd2e728594942
"Community Centre, Basant Lok Market, Vasant Vihar, New Delhi",3.5,500,New Delhi,1,"Fast Food, Burger",Indian Rupees(Rs.),Yes,No,No,28.5574864,"Basant Lok Market, Vasant Vihar","Basant Lok Market, Vasant Vihar, New Delhi",77.16365643,2,Yellow,Good,171,"McDonald's",202,6120e397a4acd2e728594943
"Shop 2, PVR Anupam Complex, Community Centre, Saket, New Delhi",3.6,500,New Delhi,1,"Fast Food, Burger",Indian Rupees(Rs.),Yes,No,No,28.52335409,PVR Anupam Complex,"PVR Anupam Complex, New Delhi",77.20765002,2,Yellow,Good,175,"McDonald's",219,6120e397a4acd2e728594944
"Shop 23, Central Market, West Punjabi Bagh, Punjabi Bagh, New Delhi",3.7,500,New Delhi,1,"Fast Food, Burger",Indian Rupees(Rs.),Yes,No,No,28.67033898,Punjabi Bagh,"Punjabi Bagh, New Delhi",77.13317614,2,Yellow,Good,176,"McDonald's",141,6120e397a4acd2e728594945
"P-14, Connaught Place, New Delhi",3.8,500,New Delhi,1,"Fast Food, Burger",Indian Rupees(Rs.),No,No,No,28.6323132,Connaught Place,"Connaught Place, New Delhi",77.216411,2,Yellow,Good,177,"McDonald's",388,6120e397a4acd2e728594946
"BG-02, Ansal Plaza Mall, Khel Gaon Marg, New Delhi",3.4,500,New Delhi,1,"Fast Food, Burger",Indian Rupees(Rs.),Yes,No,No,28.5625545,"Ansal Plaza Mall, Khel Gaon Marg","Ansal Plaza Mall, Khel Gaon Marg, New Delhi",77.2243586,2,Orange,Average,179,"McDonald's",48,6120e397a4acd2e728594947
"F-14 & 15, Model Town 2, New Delhi",3.6,500,New Delhi,1,"Fast Food, Burger",Indian Rupees(Rs.),Yes,No,No,28.7059465,Model Town 2,"Model Town 2, New Delhi",77.1901224,2,Yellow,Good,180,"McDonald's",122,6120e397a4acd2e728594948
"Near Grindlays Cinema, New Friends Colony, New Delhi",3.4,500,New Delhi,1,"Fast Food, Burger",Indian Rupees(Rs.),Yes,No,No,28.5613658,New Friends Colony,"New Friends Colony, New Delhi",77.268936,2,Orange,Average,181,"McDonald's",127,6120e397a4acd2e728594949
"42, Janpath, New Delhi",3.8,500,New Delhi,1,"Fast Food, Burger",Indian Rupees(Rs.),Yes,No,No,28.62662923,Janpath,"Janpath, New Delhi",77.21920632,2,Yellow,Good,182,"McDonald's",158,6120e397a4acd2e72859494a
"R 1, Janak Place, Janakpuri, New Delhi",3.6,500,New Delhi,1,"Fast Food, Burger",Indian Rupees(Rs.),Yes,No,No,28.6299374,Janakpuri,"Janakpuri, New Delhi",77.0819207,2,Yellow,Good,185,"McDonald's",179,6120e397a4acd2e72859494b
"2, Rachna Cinema Complex, Rajendra Place, New Delhi",3.4,500,New Delhi,1,"Fast Food, Burger",Indian Rupees(Rs.),Yes,No,No,28.6426741,Rajendra Place,"Rajendra Place, New Delhi",77.1771112,2,Orange,Average,186,"McDonald's",91,6120e397a4acd2e72859494c
"Vishal Cinema Complex, Rajouri Garden, New Delhi",3.7,500,New Delhi,1,"Fast Food, Burger",Indian Rupees(Rs.),Yes,No,No,28.6499809,Rajouri Garden,"Rajouri Garden, New Delhi",77.1207565,2,Yellow,Good,188,"McDonald's",161,6120e397a4acd2e72859494d
"ISBT, Railway Station, Kashmiri Gate, New Delhi",3.3,500,New Delhi,1,"Fast Food, Burger",Indian Rupees(Rs.),No,No,No,28.6676442,Kashmiri Gate,"Kashmiri Gate, New Delhi",77.2293337,2,Orange,Average,189,"McDonald's",132,6120e397a4acd2e72859494e
"M2K, Manglam Palace, Rohini, New Delhi",3.4,500,New Delhi,1,"Fast Food, Burger",Indian Rupees(Rs.),Yes,No,No,28.7010021,Rohini,"Rohini, New Delhi",77.1167902,2,Orange,Average,191,"McDonald's",108,6120e397a4acd2e72859494f
"E-31/32, South Extension 2, New Delhi",3.6,500,New Delhi,1,"Fast Food, Burger",Indian Rupees(Rs.),Yes,No,No,28.5684461,South Extension 2,"South Extension 2, New Delhi",77.2191601,2,Yellow,Good,192,"McDonald's",167,6120e397a4acd2e728594950
"M2K Multiplex, Community Centre, Road 44, Pitampura, New Delhi",3.3,500,New Delhi,1,"Fast Food, Burger",Indian Rupees(Rs.),Yes,No,No,28.6893243,Pitampura,"Pitampura, New Delhi",77.1331014,2,Orange,Average,194,"McDonald's",58,6120e397a4acd2e728594951
"9-B & C, Cross River Mall, Karkardooma, New Delhi",3.4,500,New Delhi,1,"Fast Food, Burger",Indian Rupees(Rs.),Yes,No,No,28.657631,"Cross River Mall, Karkardooma","Cross River Mall, Karkardooma, New Delhi",77.3022802,2,Orange,Average,195,"McDonald's",77,6120e397a4acd2e728594952
"Shop 1, Plot 45, Satyam Cinema Complex, Nehru Place, New Delhi",3.7,500,New Delhi,1,"Fast Food, Burger",Indian Rupees(Rs.),Yes,No,No,28.5501754,Nehru Place,"Nehru Place, New Delhi",77.251157,2,Yellow,Good,196,"McDonald's",177,6120e397a4acd2e728594953
"15/16/16-A, Plot 9-D, Aditya Mega Mall, Karkardooma, New Delhi",2.8,700,New Delhi,1,"Pizza, Fast Food",Indian Rupees(Rs.),No,No,No,28.6564531,"Aditya Mega Mall, Karkardooma","Aditya Mega Mall, Karkardooma, New Delhi",77.3016337,2,Orange,Average,197,"Domino's Pizza",83,6120e397a4acd2e728594954
"2-4 & 25-27, Pocket B, Ground Floor, DDA Market, Ashok Vihar Phase 3, New Delhi",3.2,700,New Delhi,1,"Pizza, Fast Food",Indian Rupees(Rs.),No,No,No,28.6924171,Ashok Vihar Phase 3,"Ashok Vihar Phase 3, New Delhi",77.1778168,2,Orange,Average,198,"Domino's Pizza",101,6120e397a4acd2e728594955
"A-1, DDA Shopping Complex, Near Moolchand Flyover, Defence Colony, New Delhi",2.5,700,New Delhi,1,"Pizza, Fast Food",Indian Rupees(Rs.),No,No,No,28.5661594,Defence Colony,"Defence Colony, New Delhi",77.233061,2,Orange,Average,199,"Domino's Pizza",78,6120e397a4acd2e728594956
"18/27, East Patel Nagar Market, East Patel Nagar, New Delhi",3.5,700,New Delhi,1,"Pizza, Fast Food",Indian Rupees(Rs.),No,No,No,28.6453402,East Patel Nagar,"East Patel Nagar, New Delhi",77.1726202,2,Yellow,Good,201,"Domino's Pizza",119,6120e397a4acd2e728594957
"M-83, Main Market, Greater Kailash (GK) 2, New Delhi",3.2,700,New Delhi,1,"Pizza, Fast Food",Indian Rupees(Rs.),No,No,No,28.5321867,Greater Kailash (GK) 2,"Greater Kailash (GK) 2, New Delhi",77.2428374,2,Orange,Average,202,"Domino's Pizza",138,6120e397a4acd2e728594958
"S-27, Ground Floor, Main Market, Green Park, New Delhi",2.5,700,New Delhi,1,"Pizza, Fast Food",Indian Rupees(Rs.),No,No,No,28.5565998,Green Park,"Green Park, New Delhi",77.2023408,2,Orange,Average,203,"Domino's Pizza",238,6120e397a4acd2e728594959
"C-7, Malviya Nagar, New Delhi",2.3,700,New Delhi,1,"Pizza, Fast Food",Indian Rupees(Rs.),No,No,No,28.5363241,Malviya Nagar,"Malviya Nagar, New Delhi",77.211528,2,Red,Poor,209,"Domino's Pizza",185,6120e397a4acd2e72859495a
"32-33, Grandlays Cinema Complex, New Friends Colony, New Delhi",2.8,700,New Delhi,1,"Pizza, Fast Food",Indian Rupees(Rs.),No,No,No,28.5613573,New Friends Colony,"New Friends Colony, New Delhi",77.2688462,2,Orange,Average,212,"Domino's Pizza",95,6120e397a4acd2e72859495b
"1 & 2, Block A-5 B, DDA Market, Paschim Vihar, New Delhi",3.2,700,New Delhi,1,"Pizza, Fast Food",Indian Rupees(Rs.),No,No,No,28.6768613,Paschim Vihar,"Paschim Vihar, New Delhi",77.1043703,2,Orange,Average,213,"Domino's Pizza",111,6120e397a4acd2e72859495c
"1 & 21 KD, Ground Floor, DDA Market, Pitampura, New Delhi",3.2,700,New Delhi,1,"Pizza, Fast Food",Indian Rupees(Rs.),No,No,No,28.6992587,Pitampura,"Pitampura, New Delhi",77.1394556,2,Orange,Average,214,"Domino's Pizza",73,6120e397a4acd2e72859495d
"30, Aditya Arcade, Preet Vihar, New Delhi",2.8,700,New Delhi,1,"Pizza, Fast Food",Indian Rupees(Rs.),No,No,No,28.6393333,Preet Vihar,"Preet Vihar, New Delhi",77.2949499,2,Orange,Average,215,"Domino's Pizza",102,6120e397a4acd2e72859495e
"27-28, Central Market West, Punjabi Bagh, New Delhi",3.2,700,New Delhi,1,"Pizza, Fast Food",Indian Rupees(Rs.),No,No,No,28.67114118,Punjabi Bagh,"Punjabi Bagh, New Delhi",77.13436034,2,Orange,Average,216,"Domino's Pizza",112,6120e397a4acd2e72859495f
"J-2/20, Ground Floor, BK Dutta Market, Rajouri Garden, New Delhi",3.5,700,New Delhi,1,"Pizza, Fast Food",Indian Rupees(Rs.),No,No,No,28.6471108,Rajouri Garden,"Rajouri Garden, New Delhi",77.1186491,2,Yellow,Good,217,"Domino's Pizza",194,6120e397a4acd2e728594960
"10/11, Garg Mall, Community Center, Rohini, New Delhi",3.5,700,New Delhi,1,"Pizza, Fast Food",Indian Rupees(Rs.),No,No,No,28.7348098,Rohini,"Rohini, New Delhi",77.1140883,2,Yellow,Good,218,"Domino's Pizza",123,6120e397a4acd2e728594961
"11, PVR Anupam Complex, Community Centre",2.5,700,New Delhi,1,"Pizza, Fast Food",Indian Rupees(Rs.),No,No,No,28.5232693,PVR Anupam Complex,"PVR Anupam Complex, New Delhi",77.2075519,2,Orange,Average,219,"Domino's Pizza",253,6120e397a4acd2e728594962
"6-7, Commercial Shopping Complex, Shanti Niketan Marg, New Delhi",2.8,700,New Delhi,1,"Pizza, Fast Food",Indian Rupees(Rs.),No,No,No,28.5771317,Shanti Niketan Marg,"Shanti Niketan Marg, New Delhi",77.1684077,2,Orange,Average,220,"Domino's Pizza",85,6120e397a4acd2e728594963
"UGF/RTC 9, Building 8, Tower C, DLF- 2, DLF Cyber City, Gurgaon",2.4,700,Gurgaon,1,"Pizza, Fast Food",Indian Rupees(Rs.),No,No,No,28.4945253,DLF Cyber City,"DLF Cyber City, Gurgaon",77.0890476,2,Red,Poor,225,"Domino's Pizza",125,6120e397a4acd2e728594964
"Food Court, 3rd Floor, DLF Mega Mall, DLF Phase 1, Gurgaon",2.8,700,Gurgaon,1,"Pizza, Fast Food",Indian Rupees(Rs.),No,No,No,28.47577587,"DLF Mega Mall, DLF Phase 1","DLF Mega Mall, DLF Phase 1, Gurgaon",77.09308315,2,Orange,Average,226,"Domino's Pizza",30,6120e397a4acd2e728594965
"G-4/5, Central Plaza Mall, Golf Course Road, Gurgaon",3.4,700,Gurgaon,1,"Pizza, Fast Food",Indian Rupees(Rs.),No,No,No,28.4428671,"Central Plaza Mall, Golf Course Road","Central Plaza Mall, Golf Course Road, Gurgaon",77.1010066,2,Orange,Average,227,"Domino's Pizza",104,6120e397a4acd2e728594966
"4-C, Ground Floor, Omaxe Gurgaon Mall, Sohna Road, Gurgaon",2.4,700,Gurgaon,1,"Pizza, Fast Food",Indian Rupees(Rs.),No,No,No,28.4113952,Omaxe Gurgaon Mall,"Omaxe Gurgaon Mall, Gurgaon",77.0431785,2,Red,Poor,230,"Domino's Pizza",112,6120e397a4acd2e728594967
"B-10, DDA Market, Vasant Kunj, New Delhi",3,1100,New Delhi,1,"Fast Food, North Indian, Desserts, Ice Cream",Indian Rupees(Rs.),Yes,No,No,28.531431,Vasant Kunj,"Vasant Kunj, New Delhi",77.1538018,3,Orange,Average,234,"Nirula's",145,6120e397a4acd2e728594968
"M-20, Outer Circle, Connaught Place, New Delhi",3.5,1000,New Delhi,1,"Italian, Pizza, Fast Food",Indian Rupees(Rs.),Yes,No,No,28.6322176,Connaught Place,"Connaught Place, New Delhi",77.2228218,3,Yellow,Good,249,Pizza Hut,541,6120e397a4acd2e728594969
"FA 7 & 8, Metro Walk Mall, Sector 11, Rohini, New Delhi",2.8,1000,New Delhi,1,"Italian, Pizza, Fast Food",Indian Rupees(Rs.),No,No,No,28.7241629,"Metro Walk Mall, Rohini","Metro Walk Mall, Rohini, New Delhi",77.1136837,3,Orange,Average,250,Pizza Hut,83,6120e397a4acd2e72859496a
"V3S Mall, Laxmi Nagar, New Delhi",2.4,1000,New Delhi,1,"Italian, Pizza, Fast Food",Indian Rupees(Rs.),Yes,No,No,28.637001,"V3S Mall, Laxmi Nagar","V3S Mall, Laxmi Nagar, New Delhi",77.286103,3,Red,Poor,252,Pizza Hut,224,6120e397a4acd2e72859496b
"Centerpoint, A Block, Phase 1, Sushant Lok, Gurgaon",2.8,1000,Gurgaon,1,"Italian, Pizza, Fast Food",Indian Rupees(Rs.),Yes,No,No,28.4684058,Sushant Lok,"Sushant Lok, Gurgaon",77.0746189,3,Orange,Average,254,Pizza Hut,80,6120e397a4acd2e72859496c
"12, PVR Anupam Complex, Community Centre",3.1,1000,New Delhi,1,"Italian, Pizza, Fast Food",Indian Rupees(Rs.),Yes,No,No,28.5233603,Saket,"Saket, New Delhi",77.2076072,3,Orange,Average,256,Pizza Hut,237,6120e397a4acd2e72859496d
"G-5, Aggarwal Millenium Tower, Netaji Subhash Place, New Delhi",3.3,1000,New Delhi,1,"Italian, Pizza, Fast Food",Indian Rupees(Rs.),Yes,No,No,28.6941379,Netaji Subhash Place,"Netaji Subhash Place, New Delhi",77.1496398,3,Orange,Average,257,Pizza Hut,211,6120e397a4acd2e72859496e
"S-32, Main Road Market, Green Park, New Delhi",3.3,1000,New Delhi,1,"Italian, Pizza, Fast Food",Indian Rupees(Rs.),Yes,No,No,28.5563457,Green Park,"Green Park, New Delhi",77.2020264,3,Orange,Average,259,Pizza Hut,276,6120e397a4acd2e72859496f
"58, Janpath, New Delhi",3.4,1000,New Delhi,1,"Italian, Pizza, Fast Food",Indian Rupees(Rs.),Yes,No,No,28.62751063,Janpath,"Janpath, New Delhi",77.2195131,3,Orange,Average,261,Pizza Hut,116,6120e397a4acd2e728594970
"41, Basant Lok Market, Vasant Vihar, New Delhi",3.1,1000,New Delhi,1,"Italian, Pizza, Fast Food",Indian Rupees(Rs.),Yes,No,No,28.55750937,"Basant Lok Market, Vasant Vihar","Basant Lok Market, Vasant Vihar, New Delhi",77.16408022,3,Orange,Average,262,Pizza Hut,161,6120e397a4acd2e728594971
"19-20, Grandlay Cinema Building, New Friends Colony, New Delhi",3.9,800,New Delhi,1,"Italian, Pizza, Fast Food",Indian Rupees(Rs.),Yes,No,No,28.5613573,New Friends Colony,"New Friends Colony, New Delhi",77.2688462,2,Yellow,Good,267,Pizza Hut Delivery,189,6120e397a4acd2e728594972
"KG-5 C, Ground Floor, Tower C, Cyber Greens, DLF Cyber City, Gurgaon",2.8,700,Gurgaon,1,"North Indian, Mughlai, Chinese",Indian Rupees(Rs.),Yes,No,No,28.4937229,"Cyber Greens, DLF Cyber City","Cyber Greens, DLF Cyber City, Gurgaon",77.0928243,2,Orange,Average,270,Isabella,191,6120e397a4acd2e728594973
"Premises 2G, Building 10, Tower A, DLF Cyber City, Gurgaon",3.8,1500,Gurgaon,1,Chinese,Indian Rupees(Rs.),No,No,No,28.4942482,DLF Cyber City,"DLF Cyber City, Gurgaon",77.0875639,3,Yellow,Good,278,Nooba,333,6120e397a4acd2e728594974
"M-84, M Block Market, Greater Kailash (GK) 2, New Delhi",3.7,1100,New Delhi,1,North Indian,Indian Rupees(Rs.),Yes,Yes,No,28.5323086,Greater Kailash (GK) 2,"Greater Kailash (GK) 2, New Delhi",77.2426617,3,Yellow,Good,285,Not Just Paranthas,487,6120e397a4acd2e728594975
"18, Defence Colony Market, Defence Colony, New Delhi",4,600,New Delhi,1,"South Indian, North Indian, Chinese",Indian Rupees(Rs.),Yes,No,No,28.5733831,Defence Colony,"Defence Colony, New Delhi",77.2303217,2,Green,Very Good,305,Sagar Ratna,782,6120e397a4acd2e728594976
"24, Defence Colony Market, Defence Colony, New Delhi",3.7,600,New Delhi,1,"North Indian, Chinese",Indian Rupees(Rs.),Yes,No,No,28.5731228,Defence Colony,"Defence Colony, New Delhi",77.2304115,2,Yellow,Good,306,Sagar Ratna,308,6120e397a4acd2e728594977
"Central Market, Masudpur, Vasant Kunj, New Delhi",2.8,600,New Delhi,1,"South Indian, North Indian",Indian Rupees(Rs.),Yes,No,No,28.5251312,Vasant Kunj,"Vasant Kunj, New Delhi",77.155416,2,Orange,Average,308,Sagar Ratna,133,6120e397a4acd2e728594978
"B-2/1, Ashok Vihar Phase 2, New Delhi",2.7,600,New Delhi,1,"South Indian, North Indian, Chinese",Indian Rupees(Rs.),Yes,No,No,28.693362,Ashok Vihar Phase 2,"Ashok Vihar Phase 2, New Delhi",77.1779476,2,Orange,Average,309,Sagar Ratna,278,6120e397a4acd2e728594979
"K-15, Connaught Place, New Delhi",3.4,600,New Delhi,1,"South Indian, North Indian, Chinese",Indian Rupees(Rs.),Yes,No,No,28.6356827,Connaught Place,"Connaught Place, New Delhi",77.220409,2,Orange,Average,320,Sagar Ratna,499,6120e397a4acd2e72859497a
"5, New Gurgaon Plaza, Old Delhi Road, Sector 14, Gurgaon",2.5,600,Gurgaon,1,"Biryani, North Indian",Indian Rupees(Rs.),Yes,No,No,28.4764122,Sector 14,"Sector 14, Gurgaon",77.0445955,2,Orange,Average,329,Viva Hyderabad,70,6120e397a4acd2e72859497b
"Food Court, MGF Metropolitan Mall, MG Road, Gurgaon",3.5,900,Gurgaon,1,"Pizza, Italian",Indian Rupees(Rs.),No,No,No,28.4805204,"MGF Metropolitan Mall, MG Road","MGF Metropolitan Mall, MG Road, Gurgaon",77.0801226,2,Yellow,Good,338,Sage,205,6120e397a4acd2e72859497c
"K 11, Som Vihar Apartments, R K Puram, New Delhi",3.2,900,New Delhi,1,"North Indian, Mughlai",Indian Rupees(Rs.),Yes,Yes,No,28.5724323,R K Puram,"R K Puram, New Delhi",77.1738591,2,Orange,Average,345,"Colonel's Kababz",67,6120e397a4acd2e72859497d
"G-37, Ground Floor, Westend Mall, Janakpuri, New Delhi",3.4,350,New Delhi,1,Fast Food,Indian Rupees(Rs.),No,No,No,28.6299004,"West End Mall, Janak Puri","West End Mall, Janak Puri, New Delhi",77.080281,1,Orange,Average,349,"34, Chowringhee Lane",86,6120e397a4acd2e72859497e
"93, Opposite Venkateswara College, Satyaniketan, New Delhi",3.5,350,New Delhi,1,Fast Food,Indian Rupees(Rs.),No,No,No,28.5884054,Satyaniketan,"Satyaniketan, New Delhi",77.1684675,1,Yellow,Good,351,"34, Chowringhee Lane",345,6120e397a4acd2e72859497f
"1 & 2, C-5A, Kadimi Market, Janakpuri, New Delhi",2.5,600,New Delhi,1,"North Indian, South Indian, Chinese, Fast Food",Indian Rupees(Rs.),Yes,No,No,28.6158468,Janakpuri,"Janakpuri, New Delhi",77.0944197,2,Orange,Average,355,New Kadimi,162,6120e397a4acd2e728594980
"G-6, Janak Place, District Centre, Janakpuri, New Delhi",3.4,800,New Delhi,1,"North Indian, Chinese",Indian Rupees(Rs.),Yes,Yes,No,28.6301104,"District Centre, Janakpuri","District Centre, Janakpuri, New Delhi",77.0800517,2,Orange,Average,357,Bemisaal,122,6120e397a4acd2e728594981
"D-141, Shopping Mall, Arjun Marg, DLF Phase 1, Gurgaon",3.3,700,Gurgaon,1,"North Indian, Chinese",Indian Rupees(Rs.),Yes,No,No,28.4656305,"Shopping Mall, DLF Phase 1","Shopping Mall, DLF Phase 1, Gurgaon",77.0997223,2,Orange,Average,358,Halki Aanch,64,6120e397a4acd2e728594982
"C-2/22, Sector 18, Noida",3.6,700,Noida,1,"Pizza, Fast Food",Indian Rupees(Rs.),No,No,No,28.5702822,Sector 18,"Sector 18, Noida",77.3248877,2,Yellow,Good,384,"Domino's Pizza",547,6120e397a4acd2e728594983
